name,start_date,end_date,location,link,geographical_region,keywords
2023.12.31 台中市-五月天25週年巡迴演唱會-跨年演唱會,2023-12-31,2023-12-31,台中市,https://www.twmarket.tw/?p=47166,中臺灣,
2024.01 台北市集-十二籃.選-誠品忠孝敦化店-12/1~2/28,2023-12-01,2024-02-28,台北市,https://www.twmarket.tw/?p=46379,北臺灣,市集內容：#11月 #12月 #捷運敦化 #誠品 #台北捷運 #聖誕節 #冬日市集【活動招商】 市集內容：#11月 #12月 #捷運敦化 #誠品 #台北捷運 #聖誕節 #冬日市集【活動招商】 市集內容：#11月 #12月 #捷運敦化 #誠品 #台北捷運 #聖誕節 #冬日市集 市集內容：#11月 #12月 #捷運敦化 #誠品 #台北捷運 #聖誕節 #冬日市集
2024.01 台北市集-聖誕佳節禮物市集-12/1~2/28,2023-12-01,2024-02-28,台北市,https://www.twmarket.tw/?p=46635,北臺灣,市集內容：#12月 #1月 #台北 #台北車站 #不用排班 #聖誕節 #寄售【活動招商】 市集內容：#12月 #1月 #台北 #台北車站 #不用排班 #聖誕節 #寄售【活動招商】 市集內容：#12月 #1月 #台北 #台北車站 #不用排班 #聖誕節 #寄售 市集內容：#12月 #1月 #台北 #台北車站 #不用排班 #聖誕節 #寄售
2024.01 新竹市集-冬季市集-湳雅大魯閣-12月~2月,2023-12-01,2024-02-29,新竹市,https://www.twmarket.tw/?p=46670,北臺灣,市集內容：#十二籃快閃店 #大魯閣湳雅 #新竹 #竹北 #聖誕節 #12月 #1月 #2月 市集內容：#十二籃快閃店 #大魯閣湳雅 #新竹 #竹北 #聖誕節 #12月 #1月 #2月 市集內容：#十二籃快閃店 #大魯閣湳雅 #新竹 #竹北 #聖誕節 #12月 #1月 #2月
2024.01 桃園市集-(機捷A8)冬日聖誕市集-11/1~2/28(可選單月),2023-11-01,2024-02-28,桃園市,https://www.twmarket.tw/?p=46381,北臺灣,市集內容：#11月 #桃園 #機場捷運A8 #長庚醫院站 #聖誕市集 #不用排班 #櫃位 #快閃店【活動招商】 市集內容：#11月 #桃園 #機場捷運A8 #長庚醫院站 #聖誕市集 #不用排班 #櫃位 #快閃店【活動招商】 市集內容：#11月 #桃園 #機場捷運A8 #長庚醫院站 #聖誕市集 #不用排班 #櫃位 #快閃店 市集內容：#11月 #桃園 #機場捷運A8 #長庚醫院站 #聖誕市集 #不用排班 #櫃位 #快閃店
2024.01 高雄市集-聖誕∞市集 開幕-12/1~02/29,2023-12-01,2024-02-29,高雄市,https://www.twmarket.tw/?p=46448,南臺灣,市集內容：#11月 #12月 #高雄 #誠品義享店 #聖誕∞市集 #不用排班 #櫃位 #快閃店【活動招商】 市集內容：#11月 #12月 #高雄 #誠品義享店 #聖誕∞市集 #不用排班 #櫃位 #快閃店【活動招商】 市集內容：#11月 #12月 #高雄 #誠品義享店 #聖誕∞市集 #不用排班 #櫃位 #快閃店 市集內容：#11月 #12月 #高雄 #誠品義享店 #聖誕∞市集 #不用排班 #櫃位 #快閃店
2024.01.01 台中市-飛爾市集 › 北屯迪卡儂,2024-01-01,2024-01-01,台中市,https://www.twmarket.tw/?p=47146,中臺灣,
2024.01.01 台北市-年年春 復古年貨小市集,2024-01-01,2024-01-01,台北市,https://www.twmarket.tw/?p=47336,北臺灣,
2024.01.01 台北市-朶朶小語 經典復刻市集-大安森林公園捷運站,2024-01-01,2024-01-01,台北市,https://www.twmarket.tw/?p=47330,北臺灣,
2024.01.01 台北市-西紅市創意市集,2024-01-01,2024-01-01,台北市,https://www.twmarket.tw/?p=47294,北臺灣,#一月 #西門町 #西門紅樓 #攤商招募 #一月 #西門町 #西門紅樓 #攤商招募 #一月 #一月 #西門町 #西門町 #西門紅樓 #西門紅樓 #攤商招募 #攤商招募 #西門捷運站一號出口 #西門捷運站一號出口 #西門捷運站一號出口 #西門捷運站一號出口 #西門紅樓的各國觀光客 #西門紅樓的各國觀光客 #西門紅樓的各國觀光客 #西門紅樓的各國觀光客 #西紅市創意市集的行列吧🥰🥰 #西紅市創意市集的行列吧🥰🥰 #西紅市創意市集的行列吧 #西紅市創意市集的行列吧 #38 #38 #38
2024.01.01 屏東市-六堆文化園區客家食堂櫃位,2024-01-01,2024-01-01,屏東縣,https://www.twmarket.tw/?p=47693,東臺灣,
2024.01.01 桃園市-(機捷A8)新年市集,2024-01-01,2024-01-01,桃園市,https://www.twmarket.tw/?p=47222,北臺灣,#1月 #2月 #桃園 #機場捷運A8 #長庚醫院站 #新年市集 #寄售 #櫃位 #快閃店
2024.01.02 新竹市-新年市集,2024-01-02,2024-01-02,新竹市,https://www.twmarket.tw/?p=47208,北臺灣,#1月 #2月 #新竹 #遠百竹北 #新春市集 #不用排班 #櫃位 #快閃店 #寄售
2024.01.02 高雄市-新春市集,2024-01-02,2024-01-02,高雄市,https://www.twmarket.tw/?p=47205,南臺灣,#1月 #2月 #高雄 #誠品義享店 #新春市集 #不用排班 #櫃位 #快閃店 #寄售
2024.01.05 台北市- 第二屆永續時尚品牌聯展【市集區】,2024-01-05,2024-01-05,台北市,https://www.twmarket.tw/?p=46963,北臺灣,
2024.01.05 新北市-淡水捷運2號出口廣場,2024-01-05,2024-01-05,新北市,https://www.twmarket.tw/?p=47020,北臺灣,
2024.01.05 新竹市-新竹旅遊好好玩手作文創市集,2024-01-05,2024-01-05,新竹市,https://www.twmarket.tw/?p=47384,北臺灣,聯絡方式：02-2881-4888#17 聯絡方式：02-2881-4888#17 聯絡方式：02-2881-4888#17 聯絡方式：02-2881-4888#17
2024.01.05 桃園市-中茂新天地X168幸福市集,2024-01-05,2024-01-05,桃園市,https://www.twmarket.tw/?p=47024,北臺灣,
2024.01.06 台中市-飛爾市集 › 米平方商場,2024-01-06,2024-01-06,台中市,https://www.twmarket.tw/?p=47144,中臺灣,
2024.01.06 台北市-散步遊者市集,2024-01-06,2024-01-06,台北市,https://www.twmarket.tw/?p=47240,北臺灣,｜#散步遊者市集｜#台北市｜#松菸｜#1月｜#品牌招募｜
2024.01.06 台南市-甜食派對X 趴兔市集,2024-01-06,2024-01-06,台南市,https://www.twmarket.tw/?p=46949,南臺灣,#1月 #台南 #市集 #台南市集 #招商 #付費市集 #美食 #文創 #手作 #餐車 #常態市集 #focus #1 # # # # # # # # # # #focus
2024.01.06 台南市-神農五八市集-龍來了,2024-01-06,2024-01-06,台南市,https://www.twmarket.tw/?p=46925,南臺灣,
2024.01.06 台南市集-兜文創MARKET X小小偵探家尋寶歷險市集,2024-01-06,2024-01-06,台南市,https://www.twmarket.tw/?p=46352,南臺灣,市集內容：#台南市 #1月 #兒童市集 #南紡購物中心 #百貨市集 #兜文創MARKET #兒童二手小老闆活動 #兒童闖關遊戲兜文創MARKET品牌報名一覽表：https://linktr.ee/move_round_market 市集內容：#台南市 #1月 #兒童市集 #南紡購物中心 #百貨市集 #兜文創MARKET #兒童二手小老闆活動 #兒童闖關遊戲兜文創MARKET品牌報名一覽表：https://linktr.ee/move_round_market 市集內容：#台南市 #1月 #兒童市集 #南紡購物中心 #百貨市集 #兜文創MARKET #兒童二手小老闆活動 #兒童闖關遊戲 市集內容：#台南市 #1月 #兒童市集 #南紡購物中心 #百貨市集 #兜文創MARKET #兒童二手小老闆活動 #兒童闖關遊戲
2024.01.07 台中市集-木木好日創意親子市集,2024-01-07,2024-01-07,台中市,https://www.twmarket.tw/?p=46799,中臺灣,#招募市集 #招募攤商 #台中市集 #招募市集 #招募攤商 #台中市集 #招募市集 #招募攤商 #台中市集 #招募市集 #招募攤商 #台中市集
2024.01.12 台北市-信義商圈香堤大道廣場,2024-01-12,2024-01-12,台北市,https://www.twmarket.tw/?p=45723,北臺灣,
2024.01.13 新竹市-享平方Shown SquareX微瘋市集,2024-01-13,2024-01-13,新竹市,https://www.twmarket.tw/?p=46941,北臺灣,#2024 #1月 #新竹 #享平方 #Shown #新竹享平方X微瘋 #市集 #竹北 #百貨 #商場 #手作 #手作市集 #景點 #影城
2024.01.13 高雄市-溫度逝光x台塑王氏昆仲公園x新春舊物盛典－二手市集,2024-01-13,2024-01-13,高雄市,https://www.twmarket.tw/?p=47297,南臺灣,
2024.01.13-14 台北市-樹人減碳生活市集,2024-01-13,2024-01-14,台北市,https://www.twmarket.tw/?p=47445,北臺灣,#1月市集 #樹人減碳生活市集 #遮雨廊道 #科教館 #台北市 #1月市集 #樹人減碳生活市集 #遮雨廊道 #科教館 #台北市
2024.01.13-新竹市-純市集x將軍村 攜家帶眷,2024-01-13,2024-01-13,新竹市,https://www.twmarket.tw/?p=47351,北臺灣,市集內容：#新竹市 #文創市集 市集內容：#新竹市 #文創市集 市集內容：#新竹市 #文創市集
2024.01.13~01.14 桃園市-凸凸市X邊緣工事｜童叟無欺!團圓遊藝場,2024-01-13,2024-01-14,桃園市,https://www.twmarket.tw/?p=47303,北臺灣,
2024.01.15 桃園市-遠百桃園店1/15-1/21綠意廣場文青市集,2024-01-15,2024-01-15,桃園市,https://www.twmarket.tw/?p=47394,北臺灣,#1月 #桃園市 #遠東百貨桃園店 #綠意廣場市集 #文青市集 #文創 #好識集
2024.01.16 桃園市-萬市集 X 萬飾吉 平價市集,2024-01-16,2024-01-16,桃園市,https://www.twmarket.tw/?p=47680,北臺灣,#桃園市 #1月 #市集 #社區
2024.01.19 高雄市-《崔瑞昇市 – 童玩開箱趣》,2024-01-19,2024-01-19,高雄市,https://www.twmarket.tw/?p=47638,南臺灣,
2024.01.19~21 台北市-台北圓山花博,2024-01-19,2024-01-21,台北市,https://www.twmarket.tw/?p=46908,北臺灣,
2024.01.19~21 台北市-敦南SOGO百貨,2024-01-19,2024-01-21,台北市,https://www.twmarket.tw/?p=47492,北臺灣,
2024.01.19台中市-台中愛玩設計創意暨親子手作市集,2024-01-19,2024-01-19,台中市,https://www.twmarket.tw/?p=47387,中臺灣,聯絡方式：02-2881-4888#17 聯絡方式：02-2881-4888#17
2024.01.20 台中市-飛爾市集 › 大里藝術廣場,2024-01-20,2024-01-20,台中市,https://www.twmarket.tw/?p=47148,中臺灣,
2024.01.20 台南市-溫度逝光x南紡購物中心x醉Chill迎新春,2024-01-20,2024-01-20,台南市,https://www.twmarket.tw/?p=47649,南臺灣,
2024.01.20 新北市-龍賀 禮の市- iFG遠雄廣場,2024-01-20,2024-01-20,新北市,https://www.twmarket.tw/?p=47327,北臺灣,
2024.01.20 桃園市-1月微瘋市集-療癒身心靈主題市集,2024-01-20,2024-01-20,桃園市,https://www.twmarket.tw/?p=47300,北臺灣,#1月 #主題市集 #市集 #身心靈 #療癒 #放鬆 #百貨 #賣場 #商場 #社區 #美容 #手作 #課程 #手作課程 #香氛 #健康
2024.01.20 桃園市-八德置地廣場X微瘋文創市集,2024-01-20,2024-01-20,桃園市,https://www.twmarket.tw/?p=47052,北臺灣,#2024 #1月 #桃園 #八德 #置地生活廣場X微瘋 #文創 #市集 #桃園八德 #百貨 #文創市集 #手作 #手作市集 #社區 #商場
2024.01.20 高雄市集-初光良市,2024-01-20,2024-01-20,高雄市,https://www.twmarket.tw/?p=46754,南臺灣,市集內容：#市集招商 #浮日良所 #初光良市 #高雄 #高雄大遠百初光，新的啟程。象徵著新年的曙光，寄託這深刻的寓意與祝福。 市集內容：#市集招商 #浮日良所 #初光良市 #高雄 #高雄大遠百初光，新的啟程。象徵著新年的曙光，寄託這深刻的寓意與祝福。 市集內容：#市集招商 #浮日良所 #初光良市 #高雄 #高雄大遠百 市集內容：#市集招商 #浮日良所 #初光良市 #高雄 #高雄大遠百
2024.01.20~21 台中市-光之市 | Chapter 2 在冬日的露台上編織影像與詩,2024-01-20,2024-01-21,台中市,https://www.twmarket.tw/?p=47740,中臺灣,
2024.01.20臺中市-清新溫泉飯店 文創X二手市集,2024-01-20,2024-01-20,台中市,https://www.twmarket.tw/?p=47324,中臺灣,
2024.01.25~28 新北市-中和四號公園-年貨,2024-01-25,2024-01-28,新北市,https://www.twmarket.tw/?p=47100,北臺灣,
2024.01.26 台北市-台北年貨大街,2024-01-26,2024-01-26,台北市,https://www.twmarket.tw/?p=47277,北臺灣,
2024.01.26~28 新北市-小碧潭捷運站4樓-年貨,2024-01-26,2024-01-28,新北市,https://www.twmarket.tw/?p=47083,北臺灣,
2024.01.27 台中市-飛爾市集 › 大里藝術廣場,2024-01-27,2024-01-27,台中市,https://www.twmarket.tw/?p=47150,中臺灣,
2024.01.27 台北市-凝聚美好時刻 團圓市集（擴增棚位區),2024-01-27,2024-01-27,台北市,https://www.twmarket.tw/?p=47473,北臺灣,
2024.01.27 新竹市-1月新竹大魯閣湳雅廣場X微瘋市集,2024-01-27,2024-01-27,新竹市,https://www.twmarket.tw/?p=47058,北臺灣,#1月 #新竹大魯閣 #新竹 #大魯閣 #湳雅廣場 #市集 #手作市集 #百貨 #商場 #賣場 #社區
2024.01.27 桃園市-桃園總圖年貨大街,2024-01-27,2024-01-27,桃園市,https://www.twmarket.tw/?p=47370,北臺灣,#1月 #桃園市 #桃園最美圖書館新總館 #攤商招募中 #20240127至20240128 #更多詳細資訊請至報名連結查看
2024.01.27 高雄市-溫度逝光x澄清湖風景區x迎春街藝狂響曲,2024-01-27,2024-01-27,高雄市,https://www.twmarket.tw/?p=47646,南臺灣,
2024.01.27 高雄市新堀江過好年市集,2024-01-27,2024-01-27,高雄市,https://www.twmarket.tw/?p=46920,南臺灣,#1月 #新堀江新堀江2024過好年市集招商封街市集要來啦(｡･∀･)ﾉﾞ活動日期：113年1月27日至1月28日活動地點：新堀江商店街高雄市新興區文橫二路口活動時間：下午14:00~22:00(結束時間依現場狀況而定)活動攤費：400/天歡迎各式文創手作、特色美食或飲品、遊樂等攤位來報名！報名連結： #1月 #新堀江
2024.01.27-28 台北市-手作的祝福 春の市,2024-01-27,2024-01-28,台北市,https://www.twmarket.tw/?p=47333,北臺灣,
2024.01.27-28 台北市-樹人減碳生活市集_大稻埕碼頭廣場-5號水門,2024-01-27,2024-01-28,台北市,https://www.twmarket.tw/?p=47448,北臺灣,
2024.01~02月 新竹市-新年市集-湳雅大魯閣,2024-01-01,2024-02-29,新竹市,https://www.twmarket.tw/?p=47283,北臺灣,#十二籃快閃店 #大魯閣湳雅 #新竹 #竹北 #新年 #1月 #2月
台北市集-❄聖誕禮物市集-2023/12-01月,2023-12-01,2024-01-30,台北市,https://www.twmarket.tw/?p=46993,北臺灣,市集內容：#12月 #電影節 #忠孝敦化 #誠品 #台北捷運 #第二廣場 #聖誕節 #禮物市集 市集內容：#12月 #電影節 #忠孝敦化 #誠品 #台北捷運 #第二廣場 #聖誕節 #禮物市集 市集內容：#12月 #電影節 #忠孝敦化 #誠品 #台北捷運 #第二廣場 #聖誕節 #禮物市集
